date,Branch_4
2024-01-01,2467935
2024-01-02,34719
2024-01-03,1666921
2024-01-04,2465583
2024-01-05,483354
2024-01-06,460833
2024-01-07,3503185
2024-01-08,1731783
2024-01-09,39041
2024-01-10,802311
2024-01-11,920842
2024-01-12,2534378
2024-01-13,1286072
2024-01-14,1280371
2024-01-15,98257
2024-01-16,1719308
2024-01-17,477405
2024-01-18,69022
2024-01-19,5373490
2024-01-20,680340
2024-01-21,729983
2024-01-22,756780
2024-01-23,1189076
2024-01-24,838440
2024-01-25,1992636
2024-01-26,5574313
2024-01-27,3366616
2024-01-28,1679353
2024-01-29,2572151
2024-01-30,1031239
2024-01-31,1309564
2024-02-01,864929
2024-02-02,1925644
2024-02-03,4056939
2024-02-04,8283281
2024-02-05,5904980
2024-02-06,5912985
2024-02-07,145006
2024-02-08,161299
2024-02-09,255772
2024-02-10,1565381
2024-02-11,3198282
2024-02-12,1003620
2024-02-13,1761434
2024-02-14,394930
2024-02-15,4971847
2024-02-16,1256877
2024-02-17,4907842
2024-02-18,264915
2024-02-19,5926304
2024-02-20,2535501
2024-02-21,1241498
2024-02-22,2251591
2024-02-23,14364227
2024-02-24,259182
2024-02-25,2973334
2024-02-26,2206571
2024-02-27,1022029
2024-02-28,1749337
2024-02-29,795496
2024-03-01,274256
2024-03-02,3206134
2024-03-03,2316298
2024-03-04,5394785
2024-03-05,1726473
2024-03-06,7286829
2024-03-07,2886703
2024-03-08,1583815
2024-03-09,3011769
2024-03-10,356118
2024-03-11,2650797
2024-03-12,381840
2024-03-13,682489
2024-03-14,1391859
2024-03-15,484264
2024-03-16,2873761
2024-03-17,990685
2024-03-18,1429425
2024-03-19,1581327
2024-03-20,296395
2024-03-21,3329253
2024-03-22,1038612
2024-03-23,1467965
2024-03-24,2030087
2024-03-25,502567
2024-03-26,2905374
2024-03-27,6106885
2024-03-28,1341396
2024-03-29,1710511
2024-03-30,255391
2024-03-31,5371560
2024-04-01,680892
2024-04-02,2121965
2024-04-03,1572556
2024-04-04,2721294
2024-04-05,2754705
2024-04-06,4527834
2024-04-07,1699146
2024-04-08,3063700
2024-04-09,5146814
2024-04-10,1241779
2024-04-11,559303
2024-04-12,2004064
2024-04-13,3117923
2024-04-14,195573
2024-04-15,1439394
2024-04-16,1698715
2024-04-17,306271
2024-04-18,5247949
2024-04-19,100216
2024-04-20,121739
2024-04-21,1676465
2024-04-22,2770405
2024-04-23,4463070
2024-04-24,4896366
2024-04-25,1792139
2024-04-26,501910
2024-04-27,1408070
2024-04-28,3229137
2024-04-29,3732283
2024-04-30,1086266
2024-05-01,5310035
2024-05-02,7890609
2024-05-03,404684
2024-05-04,1555359
2024-05-05,15273336
2024-05-06,2678344
2024-05-07,9831793
2024-05-08,448657
2024-05-09,2730355
2024-05-10,66140
2024-05-11,148986
2024-05-12,166829
2024-05-13,938951
2024-05-14,1585828
2024-05-15,6401407
2024-05-16,3255077
2024-05-17,5836897
2024-05-18,43743
2024-05-19,1876352
2024-05-20,2532225
2024-05-21,18367220
2024-05-22,307587
2024-05-23,357379
2024-05-24,481289
2024-05-25,55726
2024-05-26,6126929
2024-05-27,330540
2024-05-28,8229565
2024-05-29,7604663
2024-05-30,16215
2024-05-31,14590064
2024-06-01,1671627
2024-06-02,3117334
2024-06-03,358761
2024-06-04,27532
2024-06-05,6414288
2024-06-06,2711694
2024-06-07,1102377
2024-06-08,5919547
2024-06-09,4682395
2024-06-10,3097120
2024-06-11,5931864
2024-06-12,3426912
2024-06-13,6467937
2024-06-14,2407303
2024-06-15,3624001
2024-06-16,3296006
2024-06-17,3223417
2024-06-18,4234558
2024-06-19,10512759
2024-06-20,157881
2024-06-21,5491564
2024-06-22,2866382
2024-06-23,4347043
2024-06-24,357819
2024-06-25,5900776
2024-06-26,2792824
2024-06-27,3553974
2024-06-28,495557
2024-06-29,10534379
2024-06-30,602896
2024-07-01,6415741
2024-07-02,10303131
2024-07-03,9521514
2024-07-04,1832000
2024-07-05,1298922
2024-07-06,3896491
2024-07-07,5508588
2024-07-08,4645447
2024-07-09,11214081
2024-07-10,6658136
2024-07-11,184260
2024-07-12,2142987
2024-07-13,759645
2024-07-14,3153411
2024-07-15,2771294
2024-07-16,12454235
2024-07-17,7882259
2024-07-18,2832749
2024-07-19,3920914
2024-07-20,10340557
2024-07-21,2963738
2024-07-22,2928621
2024-07-23,913424
2024-07-24,182130
2024-07-25,11840965
2024-07-26,10100047
2024-07-27,14775850
2024-07-28,497070
2024-07-29,168234
2024-07-30,6851664
2024-07-31,630196
2024-08-01,3781720
